fixture,h_team_name,a_team_name,fpl_date,us_h_team_name,us_a_team_name,us_date,us_fixture_id
135,Middlesbrough,Hull City,2016-12-05,Middlesbrough,Hull,2016-12-06,3114
155,Crystal Palace,Manchester Utd,2016-12-14,Crystal Palace,Manchester United,2016-12-15,3130
192,Crystal Palace,Swansea City,2017-01-03,Crystal Palace,Swansea,2017-01-04,3337
163,Everton,Liverpool,2016-12-19,Everton,Liverpool,2016-12-20,3144
157,Manchester City,Watford,2016-12-14,Manchester City,Watford,2016-12-15,3132
120,West Brom,Burnley,2016-11-21,West Bromwich Albion,Burnley,2016-11-22,2706
153,West Brom,Swansea City,2016-12-14,West Bromwich Albion,Swansea,2016-12-15,3131
184,Hull City,Everton,2016-12-30,Hull,Everton,2016-12-31,3155
96,Stoke City,Swansea City,2016-10-31,Stoke,Swansea,2016-11-01,2686
159,Stoke City,Southampton,2016-12-14,Stoke,Southampton,2016-12-15,3133
196,Stoke City,Watford,2017-01-03,Stoke,Watford,2017-01-04,3338
160,Tottenham,Hull City,2016-12-14,Tottenham,Hull,2016-12-15,3134
198,Tottenham,Chelsea,2017-01-04,Tottenham,Chelsea,2017-01-05,3339
