fpl_name,fpl_id,understat_name,understat_id
David Ospina,1,David Ospina,505.0
Petr Cech,2,Petr Cech,491.0
Damian Emiliano Martinez,3,,
Laurent Koscielny,4,Laurent Koscielny,494.0
Per Mertesacker,5,Per Mertesacker,507.0
Gabriel Armando de Abreu,6,,
Héctor Bellerín,7,Héctor Bellerín,492.0
Carl Jenkinson,9,,
Nacho Monreal,10,Nacho Monreal,495.0
Rob Holding,11,Rob Holding,1749.0
Shkodran Mustafi,12,Shkodran Mustafi,1699.0
Sead Kolasinac,13,Sead Kolasinac,342.0
Mesut Özil,16,Mesut Özil,499.0
Santiago Cazorla,17,,
Aaron Ramsey,18,Aaron Ramsey,504.0
Francis Coquelin,20,Francis Coquelin,497.0
Alex Iwobi,21,Alex Iwobi,500.0
Mohamed Elneny,22,Mohamed Elneny,496.0
Granit Xhaka,23,Granit Xhaka,204.0
Jack Wilshere,24,Jack Wilshere,1036.0
Danny Welbeck,26,Danny Welbeck,501.0
Lucas Pérez,27,,
Alexandre Lacazette,28,Alexandre Lacazette,3277.0
Henrikh Mkhitaryan,281,Henrikh Mkhitaryan,317.0
Calum Chambers,480,Calum Chambers,508.0
Reiss Nelson,489,Reiss Nelson,6492.0
Ainsley Maitland-Niles,546,Ainsley Maitland-Niles,1750.0
Matt Macey,559,,
Edward Nketiah,560,Eddie Nketiah,6482.0
Mathieu Debuchy,564,,
Konstantinos Mavropanos,595,Konstantinos Mavropanos,6722.0
Pierre-Emerick Aubameyang,616,Pierre-Emerick Aubameyang,318.0
Joseph Willock,634,Joe Willock,6630.0
Jordi Osei-Tutu,644,,
Asmir Begovic,29,Asmir Begovic,694.0
Artur Boruc,30,,
Adam Federici,31,,
Simon Francis,32,Simon Francis,456.0
Steve Cook,33,Steve Cook,458.0
Charlie Daniels,34,Charlie Daniels,459.0
Adam Smith,35,Adam Smith,825.0
Tyrone Mings,36,Tyrone Mings,1024.0
Bradley Smith,37,,
Nathan Aké,38,Nathan Aké,579.0
Harry Arter,39,Harry Arter,881.0
Marc Pugh,40,Marc Pugh,466.0
Andrew Surman,41,Andrew Surman,460.0
Junior Stanislas,42,Junior Stanislas,463.0
Dan Gosling,43,Dan Gosling,462.0
Max Gradel,44,,
Jordon Ibe,45,Jordon Ibe,481.0
Lewis Cook,46,Lewis Cook,1789.0
Ryan Fraser,47,Ryan Fraser,1683.0
Callum Wilson,48,Callum Wilson,468.0
Benik Afobe,49,Benik Afobe,826.0
Lys Mousset,50,Lys Mousset,1748.0
Joshua King,51,Joshua King,465.0
Jermain Defoe,52,Jermain Defoe,735.0
Aaron Ramsdale,549,,
Jack Simpson,570,Jack Simpson,6410.0
Emerson Hyndman,584,Emerson Hyndman,6457.0
Connor Mahoney,585,,
Matt Butcher,588,,
Kyle Taylor,602,,
Niki Mäenpää,53,,
Mathew Ryan,54,Mat Ryan,2385.0
Lewis Dunk,55,Lewis Dunk,6048.0
Shane Duffy,56,Shane Duffy,6047.0
Uwe Hünemeier,57,Uwe Hünemeier,4258.0
Bruno Saltor Grau,58,Bruno,6046.0
Gaëtan Bong,59,Gaëtan Bong,6105.0
Liam Rosenior,60,Liam Rosenior,4462.0
Connor Goldson,61,Connor Goldson,6299.0
Anthony Knockaert,62,Anthony Knockaert,4497.0
Dale Stephens,63,Dale Stephens,6051.0
Beram Kayal,64,Beram Kayal,6409.0
Steve Sidwell,65,,
Solomon March,66,Solly March,6049.0
Jiri Skalak,67,,
Oliver Norwood,68,,
Jamie Murphy,69,Jamie Murphy,6052.0
Pascal Groß,70,Pascal Groß,239.0
Glenn Murray,71,Glenn Murray,882.0
Tomer Hemed,72,Tomer Hemed,4046.0
Sam Baldock,73,Sam Baldock,6430.0
Leonardo Ulloa,210,Leonardo Ulloa,756.0
Markus Suttner,461,Markus Suttner,379.0
Isaiah Brown,481,Isaiah Brown,4481.0
Davy Pröpper,490,Davy Pröpper,6050.0
José Heriberto Izquierdo Mena,517,José Izquierdo,6231
Ezequiel Schelotto,538,Ezequiel Schelotto,3873.0
Tim Krul,540,,
Jayson Molumby,553,,
Jürgen Locadia,604,Jürgen Locadia,6542.0
Tom Heaton,74,Tom Heaton,1651.0
Paul Robinson,75,,
Matthew Lowton,76,Matthew Lowton,1652.0
Ben Mee,77,Ben Mee,1654.0
Stephen Ward,78,Stephen Ward,1655.0
James Tarkowski,79,James Tarkowski,1665.0
Kevin Long,80,Kevin Long,1747.0
Charlie Taylor,81,Charlie Taylor,6044.0
Scott Arfield,82,Scott Arfield,1659.0
Dean Marney,83,,
Johann Berg Gudmundsson,84,Johann Berg Gudmundsson,1663.0
Steven Defour,85,Steven Defour,1657.0
Jeff Hendrick,86,Jeff Hendrick,1746.0
Robbie Brady,87,Robbie Brady,789.0
Ashley Westwood,88,Ashley Westwood,669.0
Jonathan Walters,89,Jonathan Walters,863.0
Jack Cork,90,Jack Cork,712.0
Sam Vokes,91,Sam Vokes,1661.0
Ashley Barnes,93,Ashley Barnes,4422.0
Aaron Lennon,153,Aaron Lennon,593.0
Nahki Wells,185,Nahki Wells,6389.0
Phil Bardsley,334,Phil Bardsley,857.0
Georges-Kévin Nkoudou,392,Georges-Kévin Nkoudou,1729.0
Nick Pope,469,Nick Pope,5552.0
Chris Wood,518,Chris Wood,4456.0
Adam Legzdins,545,,
Anders Lindegaard,554,,
Fredrik Ulvestad,575,,
Aiden O'Neill,623,,
Dwight McNeil,646,Dwight McNeil,6756.0
Olivier Giroud,25,Olivier Giroud,502.0
Thibaut Courtois,94,Thibaut Courtois,680.0
Eduardo dos Reis Carvalho,95,,
Willy Caballero,96,Willy Caballero,624.0
César Azpilicueta,97,César Azpilicueta,681.0
Gary Cahill,98,Gary Cahill,699.0
Marcos Alonso,100,Marcos Alonso,1621.0
David Luiz Moreira Marinho,101,David Luiz,1676.0
Victor Moses,102,Victor Moses,541.0
Antonio Rüdiger,103,Antonio Rüdiger,1822.0
Eden Hazard,104,Eden Hazard,701.0
Cesc Fàbregas,105,Cesc Fàbregas,686.0
Willian Borges Da Silva,106,Willian,700.0
Pedro Rodríguez Ledesma,109,Pedro,687.0
N'Golo Kanté,111,N&#039;Golo Kanté,751.0
Michy Batshuayi,113,Michy Batshuayi,1678.0
Diego Da Silva Costa,114,,
Ross Barkley,149,Ross Barkley,592.0
Kasey Palmer,183,Kasey Palmer,705.0
Daniel Drinkwater,202,Daniel Drinkwater,752.0
Tiemoué Bakayoko,463,Tiemoué Bakayoko,3429.0
Andreas Christensen,470,Andreas Christensen,200.0
Charly Musonda,471,Charly Musonda,2147.0
Álvaro Morata,472,Álvaro Morata,1804.0
Fikayo Tomori,503,,
Kyle Scott,504,,
Jeremie Boga,509,Jeremie Boga,3544.0
Davide Zappacosta,543,Davide Zappacosta,1178.0
Ethan Ampadu,558,Ethan Ampadu,6369.0
Callum Hudson-Odoi,583,Callum Hudson-Odoi,6456.0
Dujon Sterling,600,,
Emerson Palmieri dos Santos,614,Emerson,1245.0
Trevoh Chalobah,632,,
Ruben Loftus-Cheek,108,Ruben Loftus-Cheek,688.0
Wayne Hennessey,115,Wayne Hennessey,509.0
Julian Speroni,116,Julian Speroni,523.0
James Tomkins,117,James Tomkins,530.0
Scott Dann,118,Scott Dann,512.0
Joel Ward,119,Joel Ward,510.0
Martin Kelly,120,Martin Kelly,525.0
Damien Delaney,121,Damien Delaney,511.0
Pape Souaré,122,Pape Souaré,513.0
Jeffrey Schlupp,123,Jeffrey Schlupp,757.0
Patrick van Aanholt,124,Patrick van Aanholt,730.0
Jason Puncheon,125,Jason Puncheon,514.0
Wilfried Zaha,126,Wilfried Zaha,522.0
James McArthur,127,James McArthur,633.0
Chung-yong Lee,128,Lee Chung-yong,526.0
Yohan Cabaye,129,Yohan Cabaye,516.0
Bakary Sako,130,Bakary Sako,520.0
Andros Townsend,131,Andros Townsend,775.0
Luka Milivojevic,132,Luka Milivojevic,5549.0
Connor Wickham,133,,
Christian Benteke,134,Christian Benteke,606.0
Mamadou Sakho,221,Mamadou Sakho,485.0
Timothy Fosu-Mensah,269,Timothy Fosu-Mensah,549.0
Jairo Riedewald,482,Jairo Riedewald,6027.0
Jason Lokilo,491,,
Olayinka Fredrick Oladotun Ladapo,505,Freddie Ladapo,1778.0
Sullay Kaikai,515,Sullay Kaikai,1070.0
Keshi Anderson,528,,
Levi Lumeka,544,Levi Lumeka,6283.0
Jordon Mutch,552,,
Dion Henry,555,,
Aaron Wan-Bissaka,579,Aaron Wan-Bissaka,5584.0
Jaroslaw Jach,605,,
Erdal Rakip,606,,
Alexander Sørloth,620,Alexander Sørloth,6531.0
Nya Kirby,630,,
Diego Cavalieri,633,,
James Daly,638,,
Theo Walcott,15,Theo Walcott,503.0
Jordan Pickford,135,Jordan Pickford,741.0
Joel Robles,136,,
Maarten Stekelenburg,137,,
Leighton Baines,138,Leighton Baines,588.0
Seamus Coleman,139,Seamus Coleman,585.0
Phil Jagielka,140,Phil Jagielka,587.0
Matthew Pennington,141,,
Ramiro Funes Mori,142,Ramiro Funes Mori,597.0
Ashley Williams,143,Ashley Williams,709.0
Mason Holgate,144,Mason Holgate,985.0
Jonjoe Kenny,145,Jonjoe Kenny,1084.0
Michael Keane,146,Michael Keane,1653.0
Yannick Bolasie,147,Yannick Bolasie,518.0
Kevin Mirallas,148,Kevin Mirallas,595.0
James McCarthy,150,James McCarthy,589.0
Muhamed Besic,152,Muhamed Besic,908.0
Morgan Schneiderlin,154,Morgan Schneiderlin,551.0
Idrissa Gueye,155,Idrissa Gueye,668.0
Tom Davies,156,Tom Davies,1042.0
Ademola Lookman,157,Ademola Lookman,5556.0
Davy Klaassen,158,Davy Klaassen,6045.0
Dominic Calvert-Lewin,159,Dominic Calvert-Lewin,5555.0
Sandro Ramírez,160,Sandro Ramírez,2537.0
Wayne Rooney,161,Wayne Rooney,629.0
Gylfi Sigurdsson,359,Gylfi Sigurdsson,714.0
Cuco Martina,464,Cuco Martina,832.0
Eliaquim Mangala,502,Eliaquim Mangala,626.0
Nikola Vlasic,539,Nikola Vlasic,6276.0
Oumar Niasse,548,Oumar Niasse,599.0
Beni Baningime,563,Beni Baningime,6384.0
Cenk Tosun,592,Cenk Tosun,6477.0
Luke Garbutt,629,,
Joel Coleman,162,,
Jonas Lössl,163,Jonas Lössl,3468.0
Christopher Schindler,164,Christopher Schindler,6031.0
Chris Löwe,165,Chris Löwe,6032.0
Tommy Smith,166,Tommy Smith,6029.0
Michael Hefele,167,Michael Hefele,6039.0
Martin Cranie,168,Martin Cranie,6344.0
Jon Gorenc Stankovic,169,,
Mark Hudson,170,,
Mathias Jorgensen,171,Zanka,6030
Aaron Mooy,172,Aaron Mooy,6033.0
Rajiv van La Parra,173,Rajiv van La Parra,6036.0
Jonathan Hogg,174,Jonathan Hogg,6301.0
Philip Billing,175,Philip Billing,6034.0
Joe Lolley,176,Joe Lolley,6139.0
Jack Payne,177,,
Dean Whitehead,178,Dean Whitehead,6328.0
Harry Bunn,179,,
Sean Scannell,180,,
Elias Kachunga,181,Elias Kachunga,248.0
Tom Ince,182,Tom Ince,4454.0
Danny Williams,184,Danny Williams,6037.0
Collin Quaner,186,Collin Quaner,6035.0
Laurent Depoitre,187,Laurent Depoitre,6038.0
Steve Mounie,188,Steve Mounie,3800.0
Scott Malone,462,Scott Malone,6040.0
Florent Hadergjonaj,521,Florent Hadergjonaj,5215.0
Abdelhamid Sabiri,522,Abdelhamid Sabiri,6296.0
Robert Green,547,,
Terence Kongolo,591,Terence Kongolo,6067.0
Alex Pritchard,593,Alex Pritchard,815.0
Kasper Schmeichel,189,Kasper Schmeichel,745.0
Ben Hamer,190,Ben Hamer,1759.0
Wes Morgan,191,Wes Morgan,748.0
Christian Fuchs,192,Christian Fuchs,749.0
Danny Simpson,193,Danny Simpson,746.0
Robert Huth,194,,
Yohan Benalouane,195,Yohan Benalouane,974.0
Benjamin Chilwell,196,Ben Chilwell,782.0
Harry Maguire,198,Harry Maguire,1687.0
Riyad Mahrez,199,Riyad Mahrez,750.0
Marc Albrighton,200,Marc Albrighton,753.0
Demarai Gray,203,Demarai Gray,762.0
Daniel Amartey,204,Daniel Amartey,759.0
Nampalys Mendy,205,,
Wilfred Ndidi,206,Wilfred Ndidi,5545.0
Ahmed Musa,207,,
Vicente Iborra,208,Vicente Iborra,2065.0
Jamie Vardy,209,Jamie Vardy,755.0
Shinji Okazaki,211,Shinji Okazaki,754.0
Kelechi Iheanacho,258,Kelechi Iheanacho,620.0
Eldin Jakupovic,473,Eldin Jakupovic,1697.0
Matty James,474,Matthew James,4441.0
Aleksandar Dragovic,541,Aleksandar Dragovic,5219.0
Hamza Choudhury,571,Hamza Choudhury,6418.0
George Thomas,587,,
Adrien Sebastian Perruchet Silva,589,Adrien Silva,6464
Fousseni Diabaté,601,Fousseni Diabate,5767.0
Harvey Barnes,642,Harvey Barnes,6681.0
Sam Hughes,645,,
Layton Ndukwu,647,,
Alex Oxlade-Chamberlain,19,Alex Oxlade-Chamberlain,966.0
Simon Mignolet,213,Simon Mignolet,487.0
Loris Karius,214,Loris Karius,37.0
Dejan Lovren,215,Dejan Lovren,602.0
Alberto Moreno,216,Alberto Moreno,608.0
Nathaniel Clyne,217,Nathaniel Clyne,603.0
Joseph Gomez,218,Joseph Gomez,987.0
Joel Matip,219,Joel Matip,332.0
Ragnar Klavan,220,Ragnar Klavan,265.0
James Milner,222,James Milner,489.0
Trent Alexander-Arnold,223,Trent Alexander-Arnold,1791.0
Leiva Lucas,224,,
Jordan Henderson,225,Jordan Henderson,605.0
Philippe Coutinho,226,Philippe Coutinho,488.0
Emre Can,227,Emre Can,604.0
Adam Lallana,228,Adam Lallana,486.0
Oluwaseyi Ojo,229,,
Sadio Mané,230,Sadio Mané,838.0
Marko Grujic,231,Marko Grujic,1669.0
Georginio Wijnaldum,232,Georginio Wijnaldum,771.0
Ben Woodburn,233,Ben Woodburn,5557.0
Mohamed Salah,234,Mohamed Salah,1250.0
Roberto Firmino,235,Roberto Firmino,482.0
Danny Ings,237,Danny Ings,986.0
Divock Origi,238,Divock Origi,484.0
Dominic Solanke,239,Dominic Solanke,1679.0
Virgil van Dijk,311,Virgil van Dijk,833.0
Andrew Robertson,475,Andrew Robertson,1688.0
Jon Flanagan,514,,
Danny Ward,530,,
Conor Masterson,639,,
Curtis Jones,640,,
Rafael Camacho,641,,
Ederson Santana de Moraes,240,Ederson,6054.0
Claudio Bravo,241,Claudio Bravo,1731.0
John Stones,242,John Stones,586.0
Aleksandar Kolarov,243,,
Vincent Kompany,244,Vincent Kompany,612.0
Nicolás Otamendi,245,Nicolás Otamendi,611.0
Fabian Delph,246,Fabian Delph,876.0
Raheem Sterling,247,Raheem Sterling,618.0
David Silva,248,David Silva,617.0
Gnegneri Yaya Touré,249,Yaya Touré,878.0
Fernando Luiz Rosa,250,Fernandinho,614
Fernando Francisco Reges,251,,
Kevin De Bruyne,252,Kevin De Bruyne,447.0
Ilkay Gündogan,253,Ilkay Gündogan,314.0
Manuel Agudo Durán,254,,
Leroy Sané,255,Leroy Sané,337.0
Bernardo Mota Veiga de Carvalho e Silva,256,Bernardo Silva,3635
Sergio Agüero,257,Sergio Agüero,619.0
Gabriel Fernando de Jesus,259,Gabriel Jesus,5543
Kyle Walker,379,Kyle Walker,638.0
Danilo Luiz da Silva,483,Danilo,2244
Benjamin Mendy,484,Benjamin Mendy,3389.0
Phil Foden,492,Phil Foden,6055.0
Brahim Diaz,493,Brahim Diaz,6421.0
Oleksandr Zinchenko,551,Oleksandr Zinchenko,2958.0
Oluwatosin Adarabioyo,586,,
