understat_id,understat_name,short_title,fpl_id,fpl_name
244,Brentford,BRE,3,Brentford
83,Arsenal,ARS,1,Arsenal
89,Manchester United,MUN,13,Manchester Utd
245,Leeds,LED,10,Leeds United
92,Burnley,BUR,5,Burnley
220,Brighton,BRI,4,Brighton
80,Chelsea,CHE,6,Chelsea
78,Crystal Palace,CRY,7,Crystal Palace
72,Everton,EVE,8,Everton
74,Southampton,SOU,16,Southampton
75,Leicester,LEI,9,Leicester City
229,Wolverhampton Wanderers,WOL,20,Wolves
90,Watford,WAT,18,Watford
71,Aston Villa,AVL,2,Aston Villa
79,Norwich,NOR,15,Norwich City
87,Liverpool,LIV,11,Liverpool
86,Newcastle United,NEW,14,Newcastle Utd
81,West Ham,WHU,19,West Ham
82,Tottenham,TOT,17,Tottenham
88,Manchester City,MCI,12,Manchester City
